Episode,Reward,Steps,AvgReward,TotalSteps
286.0,280.4384130877411,268,216.40434095961848,156086
287.0,287.1529060339723,231,216.85193877076173,156317
288.0,235.85640584717828,319,216.81131990168657,156636
289.0,278.9151964054606,288,216.8519171290188,156924
290.0,292.19706696678975,280,216.9783567505988,157204
291.0,239.85729338836572,190,217.04870720739703,157394
292.0,269.4728200266664,245,217.25241105352063,157639
293.0,290.6938556245376,262,217.62080385584488,157901
294.0,268.09133098789863,225,217.6823654680362,158126
295.0,47.69931317957904,235,215.5007665365793,158361
296.0,283.85337770295445,315,215.66422686829097,158676
297.0,274.0301304426528,239,215.89621944542188,158915
298.0,256.88523824928563,334,216.28762992083745,159249
299.0,249.2619316107452,280,216.60224338876867,159529
300.0,202.98896658717564,496,216.4336143266488,160025
301.0,266.13226668452154,248,216.93360948170965,160273
302.0,275.7041535937152,261,217.57329931237828,160534
303.0,279.37073539312416,258,217.8156970156767,160792
304.0,265.4847345432577,177,220.48203517683837,160969
305.0,297.9173555070213,223,221.01793955814455,161192
306.0,253.11889648743053,227,221.4085307554559,161419
307.0,289.3174843380025,235,221.6989949252316,161654
308.0,262.95982509154754,387,224.12403251985612,162041
309.0,277.1017483358684,204,224.41094254396876,162245
310.0,279.86515883123843,201,224.63107188771053,162446
311.0,284.5029948018476,184,224.9366345467381,162630
312.0,272.55159746286324,323,225.0920095915533,162953
313.0,285.87162219256834,213,225.3951409036603,163166
314.0,297.1145360134773,324,225.4886969220808,163490
315.0,277.10914428168337,269,228.49727193360545,163759
316.0,286.3014417138626,240,229.1740022484751,163999
317.0,299.275742677689,226,229.4211416495659,164225
318.0,246.28248213689528,197,231.9903105252789,164422
319.0,276.90283132702115,230,232.19844152803512,164652
320.0,271.49214679516007,187,234.21456816029576,164839
321.0,273.7345206981879,264,234.57810351062545,165103
322.0,272.74522950391366,285,234.73961286672355,165388
323.0,237.9885579064552,298,237.60879950518844,165686
324.0,278.93860903142524,314,240.21807999025347,166000
325.0,287.6332202901933,206,240.67768402364825,166206
326.0,265.57167267150726,245,240.8228334953993,166451
327.0,207.3398833456993,251,240.41962306276235,166702
328.0,268.9635769164167,183,240.73468894540613,166885
329.0,249.3182634110084,232,240.38085147424823,167117
330.0,279.128917481632,240,243.3106303460687,167357
331.0,251.49329418347705,329,243.10731830221616,167686
332.0,278.6462939407987,215,243.45928917710503,167901
333.0,285.94966777054464,250,244.0313461547831,168151
334.0,269.12453742314176,240,244.08226165184837,168391
335.0,254.6500398324372,539,244.19979934369135,168930
336.0,165.11886552577567,473,242.81161655382223,169403
337.0,265.70391946478264,219,242.66350470719632,169622
338.0,255.88343641616197,213,242.6999905363001,169835
339.0,246.29049210465615,209,242.6458680474876,170044
340.0,206.9699011119229,339,242.12487268002064,170383
341.0,241.98047534678497,212,241.6456050754313,170595
342.0,275.06685306910475,222,241.90626216405872,170817
343.0,248.4043685200504,220,241.56670773290944,171037
344.0,281.94047346331854,248,241.65468137902903,171285
345.0,246.73036378177116,217,241.70126066689107,171502
346.0,270.8138669658526,245,242.02247628073147,171747
347.0,251.9358569161703,261,247.00989317218963,172008
348.0,263.2500607927737,286,247.26702729658507,172294
349.0,275.81573797976034,201,248.3185440057576,172495
350.0,260.37855829130467,251,248.1733867843688,172746
351.0,280.32400613201673,242,248.4031833903117,172988
352.0,277.725131823968,245,251.7603456854675,173233
353.0,270.55787466884374,385,252.68673115774425,173618
354.0,261.20769855540203,280,253.42106830356025,173898
355.0,267.7220723951018,197,253.61367323556405,174095
356.0,235.90551035981483,418,257.0212478068013,174513
357.0,276.08334325115925,490,257.05087940575294,175003
358.0,265.55404499786346,211,257.1031430395344,175214
359.0,269.41564347312897,238,257.3011919120193,175452
360.0,284.51151026856235,357,257.59608675199416,175809
361.0,295.79212616184986,211,257.70149080045337,176020
362.0,17.801309980335176,240,255.09379898029056,176260
363.0,280.83774360943573,279,255.15289384569448,176539
364.0,281.39421359958703,194,255.5080582233256,176733
365.0,282.0341368293483,243,257.8464032290696,176976
366.0,-100.12954004051872,364,254.1412170030575,177340
367.0,267.6819842643966,272,254.10993066807185,177612
368.0,264.37179652374346,213,254.02099488491436,177825
369.0,249.01070136504407,215,253.6463239947744,178040
370.0,254.5496951992332,209,253.68374486368816,178249
371.0,253.42007308912412,346,253.5840575896028,178595
372.0,259.4600343743365,277,253.46663538270045,178872
373.0,259.27806381222604,278,253.2255255463471,179150
374.0,277.6327029576344,218,253.0758708063317,179368
375.0,271.5814332582422,226,253.18110728603915,179594
376.0,289.7145089445704,190,253.2725709436941,179784
377.0,263.6832150125787,512,253.46952481490484,180296
378.0,259.6554095787832,234,253.31811088573767,180530
379.0,275.313919149938,210,253.5012960871398,180740
380.0,280.1815166413201,245,255.9169358002793,180985
381.0,198.37084116078773,448,255.4227766918326,181433
382.0,263.5383989687469,207,255.4706661434694,181640
383.0,250.32448918474523,296,257.47531813638466,181936
384.0,252.81214437355504,242,257.3164212510952,182178
385.0,268.408790714975,204,257.2500720314671,182382
386.0,293.013213147095,186,257.37582003206063,182568
387.0,273.4032694158718,369,257.2383236658796,182937
388.0,253.75709479964743,199,257.41733055540425,183136
389.0,291.03559440188513,228,257.5385345353685,183364
390.0,269.5841507149256,226,257.3124053728499,183590
391.0,258.5285517096644,220,257.4991179560629,183810
392.0,299.6827824920261,264,257.80121758071647,184074
393.0,284.3110570930786,193,257.73738959540185,184267
394.0,203.7115807982312,313,257.0935920935052,184580
395.0,282.23880336856337,282,259.43898699539506,184862
396.0,266.2319122052992,221,259.2627723404185,185083
397.0,238.18998745226045,369,258.9043709105146,185452
398.0,217.1755284040213,466,258.50727381206195,185918
399.0,246.8090581075386,267,258.48274507702985,186185
400.0,211.02757335627695,669,258.56313114472096,186854
401.0,287.7433731058396,368,258.77924220893414,187222
